,Criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,score
168,entropy,25,946,14,731,0.834973087792
169,entropy,45,3438,30,662,0.754082179522
170,entropy,28,1876,34,204,0.818387384228
171,gini,2,3688,44,432,0.745537365268
172,gini,35,500,13,329,0.847428856107
173,entropy,49,4454,44,270,0.737102099915
174,gini,26,1636,29,78,0.839245494919
175,entropy,15,414,24,634,0.847849790582
176,gini,9,4852,27,448,0.733421256852
177,gini,22,4515,32,748,0.733421256852
178,entropy,38,2536,26,108,0.795250656402
179,entropy,37,3562,19,270,0.752044569969
180,entropy,40,3045,15,714,0.765760092336
181,entropy,41,3003,27,404,0.766066829257
182,gini,12,1196,45,95,0.835477012735
183,entropy,25,3771,21,740,0.750247967998
184,gini,7,3692,29,441,0.745734553289
185,gini,34,130,2,604,0.851281144952
186,gini,8,3295,40,233,0.764708422889
187,entropy,14,3858,34,298,0.749196298551
188,gini,30,4855,32,612,0.733421256852
189,gini,5,4592,10,459,0.53494712422
190,entropy,22,363,33,34,0.847856368136
191,gini,39,887,10,398,0.839727510082
192,gini,2,4809,35,316,0.733421256852
193,entropy,7,1030,46,111,0.808438460634
194,gini,5,785,10,240,0.845906068081
195,gini,18,323,13,425,0.848694858652
196,gini,10,411,17,148,0.848905650555
197,gini,47,3491,10,592,0.749524945253
198,entropy,31,1014,21,61,0.844744849734
199,entropy,42,125,14,26,0.852963665135
200,gini,25,2387,49,551,0.789882760268
201,entropy,28,4546,37,549,0.733421256852
202,entropy,37,1377,39,717,0.801376985098
203,gini,15,2624,13,672,0.781885690517
204,entropy,21,1945,22,139,0.817445263682
205,entropy,25,3064,44,113,0.778730682177
206,entropy,30,2964,25,382,0.767469055186
207,gini,38,1198,6,249,0.830339442842
208,entropy,25,3943,22,242,0.753600164359
209,entropy,34,2407,44,668,0.79338832509
210,gini,44,456,43,430,0.847752054517
211,gini,7,2717,39,233,0.789422654885
212,gini,10,1721,19,122,0.823930558603
213,entropy,37,4742,45,576,0.733421256852
214,gini,12,588,27,168,0.84737402335
215,entropy,41,1357,27,265,0.833527042303
216,gini,4,1839,5,631,0.811902089307
217,entropy,17,3431,24,407,0.750905261402
218,entropy,30,3842,24,36,0.737803212879
219,gini,31,2756,41,221,0.784646322815
220,gini,31,2254,21,482,0.798361845181
221,gini,12,3685,11,196,0.751956930848
222,entropy,42,2429,25,318,0.794681002118
223,gini,37,1569,20,534,0.824587852007
224,gini,19,3592,11,638,0.750160328877
225,entropy,19,2053,7,241,0.816327864895
226,gini,40,4255,15,418,0.746632854275
227,gini,22,3647,14,345,0.749327757232
228,entropy,22,1875,31,376,0.809601562392
229,gini,38,4537,19,72,0.750401336459
230,entropy,25,1804,2,703,0.81556102259
231,gini,29,368,22,455,0.846093193623
232,gini,38,3027,41,331,0.768871281115
233,entropy,21,4167,29,510,0.746194658672
234,gini,43,1597,40,73,0.838894938437
235,entropy,13,3479,43,234,0.754892841387
236,gini,37,110,16,619,0.851452429206
237,entropy,3,4159,24,314,0.749371576792
238,gini,8,4722,28,190,0.733421256852
239,entropy,14,4300,32,407,0.746063199991
240,entropy,48,637,7,22,0.847570370274
241,gini,26,2035,17,126,0.748148018862
242,entropy,11,2223,43,624,0.798011288699
243,gini,23,2658,6,387,0.767002143927
244,gini,27,4174,47,525,0.747750253062
245,entropy,9,4131,8,389,0.748210358445
246,gini,23,61,11,152,0.853159616233
247,entropy,33,812,13,232,0.844306654131
248,gini,49,304,29,488,0.849176599695
249,gini,26,4031,37,573,0.749459215913
250,entropy,47,4357,28,476,0.745296357686
251,entropy,2,1406,27,58,0.830152936162
252,gini,10,2599,31,428,0.780987389532
253,gini,37,3794,26,403,0.999975171656
254,entropy,24,2009,13,520,0.804277485819
255,gini,44,4035,36,745,0.749305847452
256,entropy,12,86,41,689,0.823956928664
257,entropy,18,4511,13,94,0.746260388013
258,entropy,35,1965,26,602,0.806358914932
259,entropy,37,1339,23,300,0.799676662377
260,entropy,4,4354,43,54,0.759625353897
261,entropy,18,872,19,135,0.841151645791
262,entropy,30,479,24,572,0.847168721197
263,entropy,35,3131,5,155,0.777262726908
264,gini,2,4551,16,719,0.733421256852
265,gini,2,1550,35,334,0.804124117358
266,gini,7,25,35,15,0.855249055555
267,gini,5,3276,14,707,0.758946150713
268,entropy,6,1134,24,18,0.84890770796
269,gini,22,4331,23,736,0.747684523721
270,gini,15,4103,48,246,0.752767592714
271,gini,34,3634,3,283,0.748297997565
272,gini,47,349,14,553,0.848358822303
273,gini,16,419,36,82,0.848822160503
274,gini,10,1779,27,512,0.812252645789
275,gini,17,3468,12,540,0.750006960416
276,gini,38,4990,15,94,0.733421256852
277,entropy,12,15,41,723,0.855407285156
278,gini,35,3922,39,38,0.733421256852
279,entropy,4,604,28,451,0.83782135921
280,entropy,20,769,33,324,0.841085916451
281,gini,17,4923,18,93,0.733421256852
282,gini,32,1934,11,542,0.782249122243
283,gini,15,2175,22,558,0.798296115841
284,gini,35,1143,45,300,0.836484862622
285,gini,14,2042,7,115,0.808790900527
286,entropy,48,2952,17,258,0.775838591199
287,gini,3,3896,9,128,0.764533144648
288,gini,32,4904,48,183,0.733421256852
289,entropy,35,3837,6,302,0.748429456246
290,entropy,29,2073,13,387,0.805876899769
291,entropy,31,4319,18,520,0.744923891424
292,gini,17,770,26,745,0.842290954358
293,entropy,20,1526,24,459,0.823842919482
294,entropy,9,4184,24,723,0.578105331403
295,entropy,5,1482,2,82,0.838193825472
296,entropy,39,2407,23,67,0.821038467624
297,entropy,35,2472,3,20,0.818409294008
298,entropy,18,3268,42,496,0.756251247756
299,gini,48,1780,25,686,0.895522700397
300,gini,15,197,48,180,0.821412956196
301,gini,39,3986,20,144,0.757872571486
302,entropy,34,4122,4,311,0.749481125693
303,entropy,44,4689,33,222,0.733421256852
304,gini,9,554,30,202,0.833629785327
305,entropy,40,211,18,558,0.845356078242
306,gini,33,2390,26,451,0.791920369821
307,gini,9,4613,19,501,0.733421256852
308,gini,2,822,6,369,0.798339935401
309,gini,16,3566,48,654,0.750313697338
310,gini,8,2406,40,597,0.79185464048
311,gini,47,1966,3,466,0.806709471414
312,entropy,47,1634,22,418,0.818453113568
313,gini,49,1726,13,432,0.815714391051
314,entropy,3,2184,17,70,0.81884748961
315,entropy,49,1625,32,496,0.820841279603
316,gini,43,504,24,673,0.847091978661
317,entropy,45,3527,6,365,0.746545215154
318,entropy,46,4127,39,552,0.74742160636
319,entropy,25,3851,10,194,0.751715923267
320,entropy,39,2379,30,241,0.785452265785
321,entropy,15,3825,10,158,0.759187158294
322,entropy,13,1459,38,32,0.849521181804
323,gini,38,3843,27,533,0.747618794381
324,gini,35,130,38,397,0.851119746303
325,gini,3,3399,34,683,0.75855177467
326,gini,20,2745,31,42,0.999996203847
327,gini,9,2926,38,64,0.810653231839
328,gini,47,218,38,710,0.820066214326
329,gini,42,3071,30,379,0.764007309924
330,entropy,34,4668,41,164,0.733421256852
331,entropy,10,4469,38,256,0.733749903554
332,gini,49,4790,33,350,0.733421256852
333,entropy,27,2424,16,47,0.817730090823
334,entropy,29,1574,21,182,0.826099626836
335,entropy,12,2701,37,57,0.80611790735
336,entropy,10,1242,28,552,0.831598981651
337,gini,34,3159,40,488,0.759033789833
338,entropy,7,3754,5,30,0.747574974821
339,entropy,31,4076,22,36,0.736072340248
340,entropy,2,668,7,391,0.800859560117
341,gini,11,1799,16,114,0.816766060497
342,gini,21,4221,49,118,0.748900790068
343,entropy,3,2096,13,405,0.80289716967
344,gini,13,547,42,271,0.847202860481
345,gini,15,4752,16,431,0.733421256852
346,entropy,6,2477,2,283,0.791679362239
347,entropy,33,3012,27,313,0.769791491881
348,entropy,30,1834,31,10,0.848118955875
349,entropy,31,534,29,272,0.833193782507
350,gini,15,1296,23,203,0.833921418346
351,entropy,38,966,25,287,0.840078066564
352,gini,12,2834,20,130,0.795995588926
353,gini,4,3617,16,574,0.749590674594
354,entropy,11,4697,38,534,0.733421256852
355,gini,43,1059,31,564,0.835148366033
356,entropy,41,4729,19,47,0.733421256852
357,gini,19,675,13,274,0.846497632145
358,gini,12,2790,18,382,0.773559974065
359,entropy,13,3996,44,18,0.773976259887
360,entropy,2,1352,49,392,0.804912869443
361,gini,17,3028,20,625,0.765431445633
362,gini,5,3541,34,661,0.751299637444
363,entropy,21,4637,5,137,0.74580028263
364,entropy,28,4394,37,491,0.735458866404
365,entropy,34,4289,28,164,0.756689443358
366,entropy,39,942,3,576,0.999990670907
367,entropy,35,79,15,360,0.85169082911
368,entropy,12,1576,37,507,0.820490723121
369,gini,21,1677,35,614,0.820863189383
370,entropy,2,332,28,104,0.804956689003
371,gini,34,1357,43,9,0.849543091584
372,gini,16,2437,19,424,0.789729391807
373,entropy,6,2516,14,591,0.785851360722
374,gini,4,4920,6,374,0.733421256852
375,entropy,9,4220,25,584,0.734343856447
376,entropy,29,3397,5,221,0.759252887634
377,entropy,32,3182,32,311,0.76019500818
378,entropy,11,2667,16,224,0.786267646545
379,entropy,46,3157,48,536,0.757938300826
